Ref,Val,Package,PosX,PosY,Rot,Side
"C100","0.1uF","C_0402_1005Metric",128.409000,-40.895000,0.000000,top
"C101","0.1uF","C_0402_1005Metric",60.509000,-44.022000,90.000000,top
"C102","0.1uF","C_0402_1005Metric",66.409000,-105.895000,180.000000,top
"C103","0.1uF","C_0402_1005Metric",66.409000,-172.895000,180.000000,top
"C104","0.1uF","C_0402_1005Metric",128.409000,-172.895000,0.000000,top
"C105","0.1uF","C_0402_1005Metric",128.409000,-105.895000,0.000000,top
"C600","0.1uF","C_0603_1608Metric",70.472000,-39.751000,180.000000,top
"C601","0.1uF","C_0603_1608Metric",77.584000,-39.751000,180.000000,top
"D600_1","156125M173000","156125M173000",67.179000,-159.585000,0.000000,top
"D600_2","156125M173000","156125M173000",67.179000,-144.585000,0.000000,top
"D600_3","156125M173000","156125M173000",67.179000,-129.585000,0.000000,top
"D600_4","156125M173000","156125M173000",67.179000,-114.585000,0.000000,top
"D600_5","156125M173000","156125M173000",67.179000,-99.585000,0.000000,top
"D600_6","156125M173000","156125M173000",67.179000,-84.586000,0.000000,top
"D600_7","156125M173000","156125M173000",67.179000,-69.586000,0.000000,top
"D600_8","156125M173000","156125M173000",67.179000,-54.586000,0.000000,top
"J101","BURN_WIRES","DF13-4P-1.25(75)",65.252600,-134.950200,180.000000,top
"J102","-Z SOLAR PANEL","DF13-6P-1.25(75)",65.450000,-149.600000,180.000000,top
"J103","SEP1 & SEP2","DF13-4P-1.25(75)",72.400000,-168.700000,90.000000,top
"J104","SEP3 & SEP4","DF13-4P-1.25(75)",122.550000,-168.525000,270.000000,top
"J105","+X SOLAR PANEL","DF13-6P-1.25(75)",65.409000,-119.645000,180.000000,top
"J106","-X SOLAR PANEL","DF13-6P-1.25(75)",129.509000,-58.495000,180.000000,top
"J107","+Y SOLAR PANEL","DF13-6P-1.25(75)",129.409000,-148.395000,180.000000,top
"J200_1","HSEC8-160-01-S-DV-A-K-TR","HSEC8-160-01-S-DV-A-K-TR",97.409000,-155.895000,0.000000,top
"J200_2","HSEC8-160-01-S-DV-A-K-TR","HSEC8-160-01-S-DV-A-K-TR",97.409000,-140.895000,0.000000,top
"J200_3","HSEC8-160-01-S-DV-A-K-TR","HSEC8-160-01-S-DV-A-K-TR",97.409000,-125.895000,0.000000,top
"J200_4","HSEC8-160-01-S-DV-A-K-TR","HSEC8-160-01-S-DV-A-K-TR",97.409000,-110.895000,0.000000,top
"J200_5","HSEC8-160-01-S-DV-A-K-TR","HSEC8-160-01-S-DV-A-K-TR",97.409000,-95.895000,0.000000,top
"J200_6","HSEC8-160-01-S-DV-A-K-TR","HSEC8-160-01-S-DV-A-K-TR",97.409000,-80.895000,0.000000,top
"J200_7","HSEC8-160-01-S-DV-A-K-TR","HSEC8-160-01-S-DV-A-K-TR",97.409000,-65.895000,0.000000,top
"J200_8","HSEC8-160-01-S-DV-A-K-TR","HSEC8-160-01-S-DV-A-K-TR",97.409000,-50.895000,0.000000,top
"J300","Breakout Connector","SAMTEC_CLP-130-02-X-D-BE-A-P-TR",97.409000,-165.608000,180.000000,top
"J301","Breakout Connector","SAMTEC_CLP-130-02-X-D-BE-A-P-TR",97.409000,-172.212000,180.000000,top
"Q600","BC857AW,115","SOT-323_SC-70",84.328000,-41.926000,270.000000,top
"Q601","BC857AW,115","SOT-323_SC-70",87.122000,-41.910000,270.000000,top
"Q602","BC857AW,115","SOT-323_SC-70",89.916000,-41.910000,270.000000,top
"Q603","BC847CW,115","SOT-323_SC-70",92.710000,-41.894000,270.000000,top
"R100","0mR DNP","R_0603_1608Metric",59.184000,-163.795000,270.000000,top
"R600","50.1k","R_0603_1608Metric",74.549000,-40.894000,90.000000,top
"R601","50.1k","R_0603_1608Metric",81.661000,-40.958000,90.000000,top
"R602","0R","R_0603_1608Metric",84.328000,-45.021000,270.000000,top
"R603","0R","R_0603_1608Metric",87.122000,-45.021000,270.000000,top
"R604","0R","R_0603_1608Metric",89.916000,-45.021000,270.000000,top
"R605","4.7k","R_0402_1005Metric",84.963000,-39.370000,270.000000,top
"R606","4.7k","R_0402_1005Metric",87.757000,-39.370000,270.000000,top
"R607","4.7k","R_0402_1005Metric",90.551000,-39.370000,270.000000,top
"R608","10k","R_0402_1005Metric",93.726000,-39.497000,180.000000,top
"R609","4.7k","R_0402_1005Metric",94.488000,-41.402000,270.000000,top
"U600","TLC59282","VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm",70.993000,-43.243500,0.000000,top
"U601","TLC59282","VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm",78.105000,-43.243500,0.000000,top
